file,model,source,condition,locality,reference,hypothesis,normalized_ref,normalized_hyp,latency_s,wer,cer,entity_hit
koramangala-quiet,deepgram,self,quiet,Koramangala,haan bhai main koramangala mein rehta hoon kab aana hai,हां भाई main कोरमंगला में रहता हूं क्या बहाना है,haan bhai main koramangala mein rehta hoon kab aana hai,ham bhai main koramamgala mem rahata hum kya bahana hai,1.323,0.7,0.2545454545454545,1.0
indranagar-quet,deepgram,self,quiet,Indiranagar,mera ghar indiranagar mein hai 100 feet road ke paas,मेरे घर इन्द्रनगर में इन्हें hundred feet road के पास,mera ghar indiranagar mein hai 100 feet road ke paas,mere ghara indranagara mem inhem hundred feet road ke pasa,1.805,0.7,0.3269230769230769,1.0
whitefield-quiet,deepgram,self,quiet,Whitefield,office whitefield mein hai roz ghanta bhar jaata hoon,office whitefield main है रोज़ घंटा बाहर जाता हूं,office whitefield mein hai roz ghanta bhar jaata hoon,office whitefield main hai roza ghamta bahara jata hum,0.48,0.6666666666666666,0.16981132075471697,1.0
electroniccity-quite,deepgram,self,quiet,Electronic City,haan electronic city phase one mein kaam karta hoon,हां हां इलेक्ट्रॉनिक city phase one main काम करता हूं,haan electronic city phase one mein kaam karta hoon,ham ham ilektraॉnika city phase one main kama karata hum,0.435,0.7777777777777778,0.3333333333333333,1.0
Marathahalli-quiet,deepgram,self,quiet,Marathahalli,main marathahalli mein rehta hoon bridge ke paas wala area,मैं मारता हूं ब्रिज के पास वाला area है,main marathahalli mein rehta hoon bridge ke paas wala area,maim marata hum brija ke pasa vala area hai,1.152,0.9,0.5344827586206896,0.0
Jayanagar-noisy,deepgram,self,noisy,Jayanagar,jayanagar mein flat dhundh raha hoon koi option hai kya,जय नगर मैं एक flat ढूंढ रहा हूं कोई option है क्या,jayanagar mein flat dhundh raha hoon koi option hai kya,jaya nagara maim eka flat dhumdha raha hum koi option hai kya,0.403,0.6,0.23636363636363636,1.0
Rajajinagar-noisy,deepgram,self,noisy,Rajajinagar,bhai rajajinagar se majestic kitna time lagta hai,भाई राजा जी नगर से megastic कितना time लगाता है,bhai rajajinagar se majestic kitna time lagta hai,bhai raja ji nagara se megastic kitana time lagata hai,0.592,0.75,0.16326530612244897,1.0
Hebbal-noisy,deepgram,self,noisy,Hebbal,main hebbal flyover ke paas hoon abhi traffic mein hoon,मैं cheaple flyover के पास हूं ना भी traffic में हूं,main hebbal flyover ke paas hoon abhi traffic mein hoon,maim cheaple flyover ke pasa hum na bhi traffic mem hum,0.356,0.8,0.32727272727272727,0.0
yelahanka-noisy,deepgram,self,noisy,Yelahanka,yelahanka new town mein ek room chahiye budget kam hai,ऐलान का new town main ये room चाहिए budget कम है,yelahanka new town mein ek room chahiye budget kam hai,ailana ka new town main ye room chahie budget kama hai,1.802,0.6,0.16666666666666666,0.0
banashankari-noisy,deepgram,self,noisy,Banashankari,banashankari mein rehti hoon temple ke paas wala area,बनासांगड़ी में रहते होन टेंपो के पास वाला area,banashankari mein rehti hoon temple ke paas wala area,banasamga di mem rahate hona tempo ke pasa vala area,0.513,0.8888888888888888,0.32075471698113206,0.0
hsrlayout-rushed,deepgram,self,rushed,HSR Layout,hsr layout second sector mein hoon jaldi batao,अरे अरे अरे अरे अच्छा sir ले और second sector में हो जल्दी जल्दी बैठो,hsr layout second sector mein hoon jaldi batao,are are are are achcha sir le aura second sector mem ho jaldi jaldi baitho,0.383,1.5,0.8260869565217391,0.0
btmlayout-rushed,deepgram,self,rushed,BTM Layout,btm layout se silk board kitna door hai bhai jaldi,video में और यह सिर्फ board कितना डोर है भाई जल्दी,btm layout se silk board kitna door hai bhai jaldi,video mem aura yaha sirpha board kitana dora hai bhai jaldi,0.696,0.7,0.46,0.0
majestic-rushed,deepgram,self,rushed,Majestic,majestic bus stand pe hoon bus nikal jaayegi,दूसरी bus stand पर हो हम bus निकल जाएगी,majestic bus stand pe hoon bus nikal jaayegi,dusari bus stand para ho hama bus nikala jaegi,1.716,0.75,0.4090909090909091,0.0
silkboard-rushed,deepgram,self,rushed,Silk Board,silk board junction pe jam hai late ho raha hoon,सिल्क road जंक्शन भी जाम है लेट हो रहा ना हो,silk board junction pe jam hai late ho raha hoon,silka road jamkshana bhi jama hai leta ho raha na ho,7.532,0.8,0.4375,1.0
bellandur-rushed,deepgram,self,rushed,Bellandur,bellandur mein hoon cab book karo jaldi please,bellender main ho on cab book kar ho जल्दी please please please please,bellandur mein hoon cab book karo jaldi please,bellender main ho on cab book kar ho jaldi please please please please,3.889,1.125,0.5869565217391305,0.0
sarjapur-whisper,deepgram,self,whisper,Sarjapur,sarjapur road pe ek pg dhundh raha hoon affordable chahiye,sir जयपुर road पर यह page और धूम रहा हूं affordable चाहिए,sarjapur road pe ek pg dhundh raha hoon affordable chahiye,sir jayapura road para yaha page aura dhuma raha hum affordable chahie,1.114,0.9,0.4482758620689655,0.0
