file,model,source,condition,locality,reference,hypothesis,latency_s
koramangala-quiet,indicwhisper,self,quiet,Koramangala,haan bhai main koramangala mein rehta hoon kab aana hai,हां भाई में मंगला में रहता हूं क्या बना है,7.257
indranagar-quet,indicwhisper,self,quiet,Indiranagar,mera ghar indiranagar mein hai 100 feet road ke paas,मेरे घर इंदिरा नगर में हैं 100 फीट रोड के पास,7.881
whitefield-quiet,indicwhisper,self,quiet,Whitefield,office whitefield mein hai roz ghanta bhar jaata hoon,ऑफिस व्हाइट फील्ड में है रोज घंटा बार जाता हूं,8.912
electroniccity-quite,indicwhisper,self,quiet,Electronic City,haan electronic city phase one mein kaam karta hoon,हां इलेक्ट्रॉनिक सिटी फेस वन में काम करता हूं,7.887
Marathahalli-quiet,indicwhisper,self,quiet,Marathahalli,main marathahalli mein rehta hoon bridge ke paas wala area,मैं माली में रहता हूं ब्रिज के पास वाला एरिया,8.346
Jayanagar-noisy,indicwhisper,self,noisy,Jayanagar,jayanagar mein flat dhundh raha hoon koi option hai kya,जयनगर में क्या रहा हूँ कोई ऑप्शन हाई किया,7.553
Rajajinagar-noisy,indicwhisper,self,noisy,Rajajinagar,bhai rajajinagar se majestic kitna time lagta hai,भाई राजाजी नगर से मजिस्ट्रेट कितना टाइम लगता है,8.949
Hebbal-noisy,indicwhisper,self,noisy,Hebbal,main hebbal flyover ke paas hoon abhi traffic mein hoon,मैं प्लेयर के पास हूं अभी ट्रैफिक में हूं,6.816
yelahanka-noisy,indicwhisper,self,noisy,Yelahanka,yelahanka new town mein ek room chahiye budget kam hai,"इलाहन का न्यू टाउन में नेक रूम चाहिए, बजट कम है",8.333
banashankari-noisy,indicwhisper,self,noisy,Banashankari,banashankari mein rehti hoon temple ke paas wala area,बनासंगरी में रहते हो टेम्पल के पास वाला एरिया,7.259
hsrlayout-rushed,indicwhisper,self,rushed,HSR Layout,hsr layout second sector mein hoon jaldi batao,सेकंड सेक्टर में जल्दी जल्दी,8.823
btmlayout-rushed,indicwhisper,self,rushed,BTM Layout,btm layout se silk board kitna door hai bhai jaldi,बीटीएस बोर्ड कितना डोर है बाई जल्दी,6.21
majestic-rushed,indicwhisper,self,rushed,Majestic,majestic bus stand pe hoon bus nikal jaayegi,बस निकल जाएगी,5.304
silkboard-rushed,indicwhisper,self,rushed,Silk Board,silk board junction pe jam hai late ho raha hoon,जंक्शन भी जाम है लेट होना हो,4.875
bellandur-rushed,indicwhisper,self,rushed,Bellandur,bellandur mein hoon cab book karo jaldi please,बैंड में हो क्या बुक करो जल्दी प्लीज प्लीज प्लीज प्लीज प्लीज,10.988
sarjapur-whisper,indicwhisper,self,whisper,Sarjapur,sarjapur road pe ek pg dhundh raha hoon affordable chahiye,सरजाबुर रोड पर एक पेजेब ढूंढ रहा हूँ। अफ़ोर्डेबल चाहिए।,13.124
bommanahalli-whisper,indicwhisper,self,whisper,Bommanahalli,bommanahalli mein rehta hoon kaam ke liye apply karna tha,काम के लिए अप्लाई करना था,7.37
krpuram-whisper,indicwhisper,self,whisper,KR Puram,kr puram station ke paas hoon koi job hai kya paas mein,केपीब्रहम स्टेशन के पास हूँ। कोई जाब है के आपास में।,9.45
peenya-whisper,indicwhisper,self,whisper,Peenya,peenya industrial area mein supervisor ka kaam chahiye,पेनियाइटस्ट्रल एरिया में सुपरवाइज़र का काम चाहिए।,9.77
yeshwanthpur-whisper,indicwhisper,self,whisper,Yeshwanthpur,yeshwanthpur se koi factory job milegi kya experience hai,क्या एक्सपीरियंस है,6.316
01-04397-02,indicwhisper,gramvaani,telephony,N/A,बेईमानी और भ्रस्टाचारी की वजह से जनप्रतिनिधि अधिकारी व बिचौलिए माला माल हो रहे हैं,देवमानी और भ्रष्टाचार की वजह ऐसी जन प्रतिनिधि अधिकारी वा बिचौलिए मालामाल हो रहे,15.439
01-01025-03,indicwhisper,gramvaani,telephony,N/A,कि बच्चे लेने वालों की संख्या अब समय आ गया है इन बच्चों का जिम्मा सरकार ले और गर्भपात पर रोक लगा दे कौन जनता है,की बच्चे लेने वालों की संख्या में अब समय आ गया है इन बच्चों का जिम्मा सरकार ने और गर्भपात पर रोक लगा देते है कौन जानता है,22.779
01-09868-01,indicwhisper,gramvaani,telephony,N/A,नमस्कार आदाब श्रोताओं मैं श्वेता बिहार मोबाइल वाणी पर पेश करती हूँ शाम की सुर्खियाँ मानसून की बारिश से पानी,नमस्कार आदाब श्रोताओं मैं श्वेता बिहार मोबाइल वाणी आरोप पेश करती हूँ शाम की सुर्खियाँ मानसून की बारिश ऐसी पानी,21.624
01-08600-03,indicwhisper,gramvaani,telephony,N/A,लगाने का विकल्प मिल सकता है श्रम मंत्रालय निवेश पर मौजूदा कैप को हटाने के लिए नीति बना रहा है ऐसा होने पर पीएफ खाता धारकों को ज्यादा रिटर्न पाने का मौका मिल सकता है,लगने का विकल्प मिल सकता है श्रम मंत्रालय निवेश आरोप मौजूदा कैब को हटाने के लिए नीति बना रहा है ऐसा होने आरोप पी जी एफ खाता धारकों को ज्यादा रिटर्न पाने का मौका मिल सकता है,34.371
01-07995-03,indicwhisper,gramvaani,telephony,N/A,मदिरा नशा जैसी सामाजिक बुराई ने आज हमारे समाज एंव राष्ट्र को एक बड़ी शराब ना केवल लाखों हँसते खेलते परिवारों को रोने पर मजबूर कर दिया,मजदूरी और नशा जैसी सामाजिक दुआई ने आज हमारे समाज एवं राष्ट्र को एकबारी शराब नाट्य एवं लाखों पेदारों को लोने आरोप मजदूर कर दिया,29.936
01-05263-01,indicwhisper,gramvaani,telephony,N/A,में रहता है आजकल तो लड़की वाले दहेज़ के अलावा लड़की के लड़की के लिए दस से बीस हज़ार,में रहता है आजकल तो लड़की वाले दहेज़ छालावास लड़की के लिए दस ऐसी बीस वर्ष,12.885
01-03411-01,indicwhisper,gramvaani,telephony,N/A,राजू तिवारी आलोक कुमार के अलावे कई लोग उपस्थित थे इसी के साथ मैं शिवनारायण रिपोर्टर बोकारो मोबाइल मीडिया जरीडीह बोकारो से,राजू तिवारी आलोक कुमार के अलावा कई लोग उपस्थित थे इसी के साथ मैं शिवनारायण रिपोर्टर बोकारो मोबाइल मीडिया जरीडीह बोकारो से,25.041
02-16304-01,indicwhisper,gramvaani,telephony,N/A,आज देखा जा रहा है की हमारे धान के खेत धान मरने की स्थिति में हो गए थी थी आज इस नए झारखण्ड में हमारी बारिश होने का,आज देखा जा रहा है की हमारे धान के खेत धान मरने की स्थिति में हो गयी थी आज झारखण्ड में हमारी बारिश होने का,18.162
01-00703-03,indicwhisper,gramvaani,telephony,N/A,गठित की है और जाँच चल रही है बावजूद की कोयला का अवैध उत्खनन एवं तस्करी बद्कसूर जारी है सीसीएल ढोरी प्रक्षेत्र के तारणी परियोजना स्थित,कथित की है और जाँच सदर रही है बावजूद भी कोयला का अवैध उत्खनन एवं तस्करी बद्द सूट जारी है सीसीएल की धोरी परिक्षेत्र के चारवी परियोजना स्थित,29.213
01-00666-01,indicwhisper,gramvaani,telephony,N/A,प्रतिभागियों को दिया मौके पर दर्जनों सदस्यों ने भाग लिया एवं प्रति पर अपने विचार लिखित रूप से जमा किया मैं राधू राय महुदा धनबाद से,ये कुशल प्रतिभागियों को दिया मौके पर दर्जनों सदस्यों ने भाग लिया एवं अपने विचार लिखित रूप ऐसी जमा किया धनबाद ऐसी धन्यवाद,31.526
01-01992-01,indicwhisper,gramvaani,telephony,N/A,करोड़ों रुपया में मिला हुआ है वैसे भी किसी बच्ची के नाम पर दस हजार बीस हजार पच्चीस हजार तीस हजार रुपया तक बाकया हो जाता है,करोड़ रूपया में क्या हुआ है ऐसे भी इसकी बच्ची का नाम आरोप दस हजार बीस हजार पचीस हजार तेईस हजार रूपया तक बाकाया हो जाता है,23.333
01-04281-03,indicwhisper,gramvaani,telephony,N/A,कोई विश्वासनीय खाका है जिसको आप जानते हैं हैं बिहार मोबाइल वाणी के लिए खजौली मधुबनी से रामाशीष सिंह धन्यवाद,कोई विश्वसनीय खाता है जिसको आप जानते है बिहार मोबाइल वाणी के लिए खजौली मधुबनी ऐसी रामाशीष सिंह धन्यवाद,20.849
01-04493-02,indicwhisper,gramvaani,telephony,N/A,नमस्कार मधुबनी मोबाइल वाणी के लिए मैं मधवापुर साहरघाट से राजकिशोर यादव मधवापुर प्रखंड के बलवा गाँव में ग्यारह हजार तार पुपरी की ओर जाने वाली सड़क पर आज सुबह गिर गया है ग्यारह हजार तार गिर जाने से,नमस्कार मधुबनी मोबाइल वाणी के लिए मधुबनी प्रखंड के गाँव में ग्यारह हजार आज सुबह गिर गया है गिर जाने ऐसी,29.09
01-08776-01,indicwhisper,gramvaani,telephony,N/A,इस कार्य में काफ़ी संघर्ष का सामना करना पड़ा अब उन्होंने अर्पण नेचर सवेर ग्रुप बनाकर झी झील की दुबारा खूबसूरती लाने का भरसक प्रयास कर रहे हैं,इस कार्य में काफी संघर्ष का सामना करना पड़ा अब उन्होंने अर्पण नेचर सेवर ग्रुप बनाकर झील की दोबारा खूबसूरती लाने का वर्षा प्रयास कर रहे है,27.61
