file,model,source,condition,locality,reference,hypothesis,latency_s
koramangala-quiet,sarvam,self,quiet,Koramangala,haan bhai main koramangala mein rehta hoon kab aana hai,"हाँ भाई, मैं कोरामंगला में ही रहता हूँ। कैब आना है?",2.124
indranagar-quet,sarvam,self,quiet,Indiranagar,mera ghar indiranagar mein hai 100 feet road ke paas,"मेरे घर इंद्रानगर मेन है, 100 फीट रोड के पास।",2.096
whitefield-quiet,sarvam,self,quiet,Whitefield,office whitefield mein hai roz ghanta bhar jaata hoon,"ऑफिस वाइट फील्ड में है, रोज़ घंटा बाहर जाता हूँ।",2.086
electroniccity-quite,sarvam,self,quiet,Electronic City,haan electronic city phase one mein kaam karta hoon,"हाँ, इलेक्ट्रॉनिक सिटी फेस वन मेन काम करता हूँ।",2.151
Marathahalli-quiet,sarvam,self,quiet,Marathahalli,main marathahalli mein rehta hoon bridge ke paas wala area,"मैं इन मरतहल्ली में रहता हूँ, ब्रिज के पास वाला एरिया है।",2.195
Jayanagar-noisy,sarvam,self,noisy,Jayanagar,jayanagar mein flat dhundh raha hoon koi option hai kya,"जया नागर में फ्लैट ढूंढ रहा हूँ, कोई ऑप्शन है क्या?",2.202
Rajajinagar-noisy,sarvam,self,noisy,Rajajinagar,bhai rajajinagar se majestic kitna time lagta hai,भाई राजाजीनगर से मैजेस्टिक कितना टाइम लगता है?,2.138
Hebbal-noisy,sarvam,self,noisy,Hebbal,main hebbal flyover ke paas hoon abhi traffic mein hoon,"मेन हेब्बल फ्लाईओवर के पास हूं अभी, ट्रैफिक में हूं।",2.091
yelahanka-noisy,sarvam,self,noisy,Yelahanka,yelahanka new town mein ek room chahiye budget kam hai,"इलाहन का न्यू टाउन में एक रूम चाहिए, बजट कम है।",2.083
banashankari-noisy,sarvam,self,noisy,Banashankari,banashankari mein rehti hoon temple ke paas wala area,बनाशंगरी में रहते हों टेम्पुल के पास वाला एरिया।,2.319
hsrlayout-rushed,sarvam,self,rushed,HSR Layout,hsr layout second sector mein hoon jaldi batao,"अरे अरे अरे अरे, एचएसआर लेआउट सेकंड सेक्टर में हो, जल्दी जल्दी बटो।",2.395
btmlayout-rushed,sarvam,self,rushed,BTM Layout,btm layout se silk board kitna door hai bhai jaldi,"बीटीएम लेआउट का सिल्क बोर्ड कितना डोर है भाई, जल्दी?",2.118
majestic-rushed,sarvam,self,rushed,Majestic,majestic bus stand pe hoon bus nikal jaayegi,"दूसरी बस स्टैंड पे हो हम, बस निकल जाएगी।",2.125
