file,model,source,condition,locality,reference,hypothesis,latency_s
koramangala-quiet,whisper,self,quiet,Koramangala,haan bhai main koramangala mein rehta hoon kab aana hai,"हाँ भाई, मैंने कोरमांगला में रहता हूँ, क्या बाना है?",4.003
indranagar-quet,whisper,self,quiet,Indiranagar,mera ghar indiranagar mein hai 100 feet road ke paas,"मेरे गार इंद्रानगर में है, अंड्रट फीट रोड के पास।",2.754
whitefield-quiet,whisper,self,quiet,Whitefield,office whitefield mein hai roz ghanta bhar jaata hoon,"Office Whitefield में है, रोज गंटा बार जाता हूँ",1.908
electroniccity-quite,whisper,self,quiet,Electronic City,haan electronic city phase one mein kaam karta hoon,"हाँ, electronic CT phase 1 main कार्म करता हूँ",1.475
Marathahalli-quiet,whisper,self,quiet,Marathahalli,main marathahalli mein rehta hoon bridge ke paas wala area,"मैं इन मरतहली में रायता हूँ, ब्रिज के पास वाला एरिये।",2.666
Jayanagar-noisy,whisper,self,noisy,Jayanagar,jayanagar mein flat dhundh raha hoon koi option hai kya,"जयनागर में फ्लाज दून रहा हूँ, कोई आप्शन है क्या?",2.722
Rajajinagar-noisy,whisper,self,noisy,Rajajinagar,bhai rajajinagar se majestic kitna time lagta hai,बई राजाजी नगर से मैजस्टी कितना टाइम लागता है,2.532
Hebbal-noisy,whisper,self,noisy,Hebbal,main hebbal flyover ke paas hoon abhi traffic mein hoon,"मैं इन हेबल प्लायोर के पास हूँ अभी, ट्राफिक में हूँ",2.69
yelahanka-noisy,whisper,self,noisy,Yelahanka,yelahanka new town mein ek room chahiye budget kam hai,"एलाहन का न्यू टाउन में नेक रूम चाही है, बज़ेट काम है",2.725
banashankari-noisy,whisper,self,noisy,Banashankari,banashankari mein rehti hoon temple ke paas wala area,बनाशंगरी में रहते होन टेंपल के पास वाला एरिया,2.46
hsrlayout-rushed,whisper,self,rushed,HSR Layout,hsr layout second sector mein hoon jaldi batao,अरे अरे अरे अरे एचेसर ले और सेकिन सेक्टर में हो जल्डी जल्डी बाटो,23.061
btmlayout-rushed,whisper,self,rushed,BTM Layout,btm layout se silk board kitna door hai bhai jaldi,बीटीम लेवर के सिल्ग बोर्ड कितना डोर है बाई जलती,2.53
majestic-rushed,whisper,self,rushed,Majestic,majestic bus stand pe hoon bus nikal jaayegi,"यूजडिक बस्टेन पे हो हम, बस निकल जाईगे",2.242
silkboard-rushed,whisper,self,rushed,Silk Board,silk board junction pe jam hai late ho raha hoon,"सिल्बोर जंक्षन पे जाम है, लेट हो रहा न हो",2.244
bellandur-rushed,whisper,self,rushed,Bellandur,bellandur mein hoon cab book karo jaldi please,बेलंदर में होन्ड क्या बुक कर दो चल्दी प्लीज प्लीज प्लीज प्लीज प्लीज प्लीज,3.883
sarjapur-whisper,whisper,self,whisper,Sarjapur,sarjapur road pe ek pg dhundh raha hoon affordable chahiye,"सरजाबूर रोड पी एक पीजे दुन रहा हूँ, अफोडबल चाहिए।",3.12
bommanahalli-whisper,whisper,self,whisper,Bommanahalli,bommanahalli mein rehta hoon kaam ke liye apply karna tha,"मुमा एलिमेन रहता हूँ, काम के लिए अप्लेई करना था।",2.668
krpuram-whisper,whisper,self,whisper,KR Puram,kr puram station ke paas hoon koi job hai kya paas mein,"केपी भूम स्टेशन के पास हूँ, कोई जाव है इके अपास में",2.748
peenya-whisper,whisper,self,whisper,Peenya,peenya industrial area mein supervisor ka kaam chahiye,पिन या इंटरेस्ट्रिल एरिया में सुपरवेजर का क्याम चाहिए?,2.962
yeshwanthpur-whisper,whisper,self,whisper,Yeshwanthpur,yeshwanthpur se koi factory job milegi kya experience hai,यह श्रुन्तपूर्ज एक विफाक्री जाओ में लिंगे क्या एक्स्पिरियंस है?,3.453
01-04397-02,whisper,gramvaani,telephony,N/A,बेईमानी और भ्रस्टाचारी की वजह से जनप्रतिनिधि अधिकारी व बिचौलिए माला माल हो रहे हैं,देमानी और भ्रताचारी की वज़न से जर्ण पतिनी भी अधिकारी वो विचोईय माला माल हो रहे हैं।,4.115
01-01025-03,whisper,gramvaani,telephony,N/A,कि बच्चे लेने वालों की संख्या अब समय आ गया है इन बच्चों का जिम्मा सरकार ले और गर्भपात पर रोक लगा दे कौन जनता है,कि बच्चे लेने वालों की संख्या में अब समय आ गया है कि इन बच्चों का जिमा सरकार ले और गर्पात पर रूख लगा देते कौन जानता है,5.677
01-09868-01,whisper,gramvaani,telephony,N/A,नमस्कार आदाब श्रोताओं मैं श्वेता बिहार मोबाइल वाणी पर पेश करती हूँ शाम की सुर्खियाँ मानसून की बारिश से पानी,नमस्कार आदाप शोताओं मैं श्वेता बिहर मोबाइल वानी पर पेश करती हूँ शाम की सुर्खिया मानसुन की बारिज से पानी पड़ जाती है,5.609
01-08600-03,whisper,gramvaani,telephony,N/A,लगाने का विकल्प मिल सकता है श्रम मंत्रालय निवेश पर मौजूदा कैप को हटाने के लिए नीति बना रहा है ऐसा होने पर पीएफ खाता धारकों को ज्यादा रिटर्न पाने का मौका मिल सकता है,लगाने का विकल्प मिल सकता है श्रममंत्रालय निवेश्वर मौजूदा कैप को हटाने के लिए निति बना रहा है ऐसा होने पर पीएप खाताधारकों को ज्यादा रिटर्न पाने का मौका मिल सकता है,7.569
01-07995-03,whisper,gramvaani,telephony,N/A,मदिरा नशा जैसी सामाजिक बुराई ने आज हमारे समाज एंव राष्ट्र को एक बड़ी शराब ना केवल लाखों हँसते खेलते परिवारों को रोने पर मजबूर कर दिया,मदूरा अम्यशान के सिस्माचित दुआई ने हाल खमार घमार रमदार्थ को एक बरी फराबला के रलाकों ख़ित के पिदारों को रोने पर मल्बूर तहतिया,6.039
01-05263-01,whisper,gramvaani,telephony,N/A,में रहता है आजकल तो लड़की वाले दहेज़ के अलावा लड़की के लड़की के लिए दस से बीस हज़ार,आज कल तो लर्की वाले जैवेज शालावास लर्की के लिए दर्प लिस्वर चमूचा रहा है।,3.912
01-03411-01,whisper,gramvaani,telephony,N/A,राजू तिवारी आलोक कुमार के अलावे कई लोग उपस्थित थे इसी के साथ मैं शिवनारायण रिपोर्टर बोकारो मोबाइल मीडिया जरीडीह बोकारो से,राजु तिवारी आलोप कुमार के अलागे कई लोग उपस्थित चे इसी के साथ मैं स्रीम नरायन विपोधर बोकारो मोबाइल मेडिया जेरिटी बोकारो चे,6.131
02-16304-01,whisper,gramvaani,telephony,N/A,आज देखा जा रहा है की हमारे धान के खेत धान मरने की स्थिति में हो गए थी थी आज इस नए झारखण्ड में हमारी बारिश होने का,आज देखा जा रहा है कि हमारे धान के खेट धान मरने की सिती में हो गई थी आज एक नुनई जासन में हमारी बारिस पुनेशा,5.083
01-00703-03,whisper,gramvaani,telephony,N/A,गठित की है और जाँच चल रही है बावजूद की कोयला का अवैध उत्खनन एवं तस्करी बद्कसूर जारी है सीसीएल ढोरी प्रक्षेत्र के तारणी परियोजना स्थित,गजित की है और जात चल रही है बावजूर भी कोईला का वेद उठखाने में वो तस्तरी बद्धसूत जा रही है सिशल की धोई पर्चेत्र के तारवी परजिना इस्तित,6.564
01-00666-01,whisper,gramvaani,telephony,N/A,प्रतिभागियों को दिया मौके पर दर्जनों सदस्यों ने भाग लिया एवं प्रति पर अपने विचार लिखित रूप से जमा किया मैं राधू राय महुदा धनबाद से,"प्रति भाग लिया को दिया, मौके पर दर्जेनों सदैश्यों ने भाग लिया एबं पर्ति पर अपने विचार लिखित रूप से जिमा किया, तैस्वे मिरादुराई, मौराधनबाद से धन्यवाद.",7.372
01-01992-01,whisper,gramvaani,telephony,N/A,करोड़ों रुपया में मिला हुआ है वैसे भी किसी बच्ची के नाम पर दस हजार बीस हजार पच्चीस हजार तीस हजार रुपया तक बाकया हो जाता है,रुपया में जा हुआ है इसे कि इसी बद्धी का नाम पर सब्सक्राइब कर दो,3.275
01-04281-03,whisper,gramvaani,telephony,N/A,कोई विश्वासनीय खाका है जिसको आप जानते हैं हैं बिहार मोबाइल वाणी के लिए खजौली मधुबनी से रामाशीष सिंह धन्यवाद,कोई विश्वसी है खाका? है जिसको आप जानते हैं? है विहार मोबाल वानी पिले खड़ोली मरवनी के रामात पित्री मनवर,4.953
01-04493-02,whisper,gramvaani,telephony,N/A,नमस्कार मधुबनी मोबाइल वाणी के लिए मैं मधवापुर साहरघाट से राजकिशोर यादव मधवापुर प्रखंड के बलवा गाँव में ग्यारह हजार तार पुपरी की ओर जाने वाली सड़क पर आज सुबह गिर गया है ग्यारह हजार तार गिर जाने से,"अमस्कार मद्दुबानी मुभानवानी के लिए मन्दबापूर तारगार के राज की सोड़ागा मन्दबापूर तरकन के बलबा जाओंगी 11,000 तार उपरी चरोर जाने वाली तरक पर आज शुभा गिर रहा है 11,000 तार गिर रहा है से",8.824
01-08776-01,whisper,gramvaani,telephony,N/A,इस कार्य में काफ़ी संघर्ष का सामना करना पड़ा अब उन्होंने अर्पण नेचर सवेर ग्रुप बनाकर झी झील की दुबारा खूबसूरती लाने का भरसक प्रयास कर रहे हैं,इस कार्ज में कापिस संगर्ष का सामना करना पड़ा। अब उन्होंने अर्पन नेचर सेवर गुरूप बना कर जील की दुबारा खुशूर्ती लाने का वर्षक परियास कर रहे हैं।,7.016
01-10651-02,whisper,gramvaani,telephony,N/A,की वजह से जनता को परेशान होना पड़ेगा पुलिस मुख्यालय की पहल को नया नंबर अलोट करने का निर्णय लिया,की वज़र से जनता को परिशान होना पड़ेगा पुलिस मुख्याले की पहल को नया नंबर अलोट करने का निर्णय लिया,4.842
