file,model,source,condition,locality,reference,hypothesis,latency_s
koramangala-quiet,deepgram,self,quiet,Koramangala,haan bhai main koramangala mein rehta hoon kab aana hai,हां भाई main कोरमंगला में रहता हूं क्या बहाना है,1.323
indranagar-quet,deepgram,self,quiet,Indiranagar,mera ghar indiranagar mein hai 100 feet road ke paas,मेरे घर इन्द्रनगर में इन्हें hundred feet road के पास,1.805
whitefield-quiet,deepgram,self,quiet,Whitefield,office whitefield mein hai roz ghanta bhar jaata hoon,office whitefield main है रोज़ घंटा बाहर जाता हूं,0.48
electroniccity-quite,deepgram,self,quiet,Electronic City,haan electronic city phase one mein kaam karta hoon,हां हां इलेक्ट्रॉनिक city phase one main काम करता हूं,0.435
Marathahalli-quiet,deepgram,self,quiet,Marathahalli,main marathahalli mein rehta hoon bridge ke paas wala area,मैं मारता हूं ब्रिज के पास वाला area है,1.152
Jayanagar-noisy,deepgram,self,noisy,Jayanagar,jayanagar mein flat dhundh raha hoon koi option hai kya,जय नगर मैं एक flat ढूंढ रहा हूं कोई option है क्या,0.403
Rajajinagar-noisy,deepgram,self,noisy,Rajajinagar,bhai rajajinagar se majestic kitna time lagta hai,भाई राजा जी नगर से megastic कितना time लगाता है,0.592
Hebbal-noisy,deepgram,self,noisy,Hebbal,main hebbal flyover ke paas hoon abhi traffic mein hoon,मैं cheaple flyover के पास हूं ना भी traffic में हूं,0.356
yelahanka-noisy,deepgram,self,noisy,Yelahanka,yelahanka new town mein ek room chahiye budget kam hai,ऐलान का new town main ये room चाहिए budget कम है,1.802
banashankari-noisy,deepgram,self,noisy,Banashankari,banashankari mein rehti hoon temple ke paas wala area,बनासांगड़ी में रहते होन टेंपो के पास वाला area,0.513
hsrlayout-rushed,deepgram,self,rushed,HSR Layout,hsr layout second sector mein hoon jaldi batao,अरे अरे अरे अरे अच्छा sir ले और second sector में हो जल्दी जल्दी बैठो,0.383
btmlayout-rushed,deepgram,self,rushed,BTM Layout,btm layout se silk board kitna door hai bhai jaldi,video में और यह सिर्फ board कितना डोर है भाई जल्दी,0.696
majestic-rushed,deepgram,self,rushed,Majestic,majestic bus stand pe hoon bus nikal jaayegi,दूसरी bus stand पर हो हम bus निकल जाएगी,1.716
silkboard-rushed,deepgram,self,rushed,Silk Board,silk board junction pe jam hai late ho raha hoon,सिल्क road जंक्शन भी जाम है लेट हो रहा ना हो,7.532
bellandur-rushed,deepgram,self,rushed,Bellandur,bellandur mein hoon cab book karo jaldi please,bellender main ho on cab book kar ho जल्दी please please please please,3.889
sarjapur-whisper,deepgram,self,whisper,Sarjapur,sarjapur road pe ek pg dhundh raha hoon affordable chahiye,sir जयपुर road पर यह page और धूम रहा हूं affordable चाहिए,1.114
bommanahalli-whisper,deepgram,self,whisper,Bommanahalli,bommanahalli mein rehta hoon kaam ke liye apply karna tha,हमारे में रहता हूं काम के लिए अप्रे करना था,0.353
krpuram-whisper,deepgram,self,whisper,KR Puram,kr puram station ke paas hoon koi job hai kya paas mein,kb g b gm station के पास हूँ कोई जवाब है क्या पास में,1.526
peenya-whisper,deepgram,self,whisper,Peenya,peenya industrial area mein supervisor ka kaam chahiye,बेनियाई testल area में एक supervisor का काम चाहिए,1.432
yeshwanthpur-whisper,deepgram,self,whisper,Yeshwanthpur,yeshwanthpur se koi factory job milegi kya experience hai,यह श्रुतिपुर से कोई factory job मिलेंगे क्या experience है,0.737
01-04397-02,deepgram,gramvaani,telephony,N/A,बेईमानी और भ्रस्टाचारी की वजह से जनप्रतिनिधि अधिकारी व बिचौलिए माला माल हो रहे हैं,बेईमानी और भ्रष्टाचारी की वजह से जन प्रतिनिधि अधिकारी व हो रहा,0.534
