file,reference,locality,condition,source
koramangala-quiet,haan bhai main koramangala mein rehta hoon kab aana hai,Koramangala,quiet,self
indiranagar-quet,mera ghar indiranagar mein hai 100 feet road ke paas,Indiranagar,quiet,self
whitefield-quiet,office whitefield mein hai roz ghanta bhar jaata hoon,Whitefield,quiet,self
electroniccity-quite,haan electronic city phase one mein kaam karta hoon,Electronic City,quiet,self
Marathahalli-quiet,main marathahalli mein rehta hoon bridge ke paas wala area,Marathahalli,quiet,self
Jayanagar-noisy,jayanagar mein flat dhundh raha hoon koi option hai kya,Jayanagar,noisy,self
Rajajinagar-noisy,bhai rajajinagar se majestic kitna time lagta hai,Rajajinagar,noisy,self
Hebbal-noisy,main hebbal flyover ke paas hoon abhi traffic mein hoon,Hebbal,noisy,self
yelahanka-noisy,yelahanka new town mein ek room chahiye budget kam hai,Yelahanka,noisy,self
banashankari-noisy,banashankari mein rehti hoon temple ke paas wala area,Banashankari,noisy,self
hsrlayout-rushed,hsr layout second sector mein hoon jaldi batao,HSR Layout,rushed,self
btmlayout-rushed,btm layout se silk board kitna door hai bhai jaldi,BTM Layout,rushed,self
majestic-rushed,majestic bus stand pe hoon bus nikal jaayegi,Majestic,rushed,self
silkboard-rushed,silk board junction pe jam hai late ho raha hoon,Silk Board,rushed,self
bellandur-rushed,bellandur mein hoon cab book karo jaldi please,Bellandur,rushed,self
sarjapur-whisper,sarjapur road pe ek pg dhundh raha hoon affordable chahiye,Sarjapur,whisper,self
bommanahalli-whisper,bommanahalli mein rehta hoon kaam ke liye apply karna tha,Bommanahalli,whisper,self
krpuram-whisper,kr puram station ke paas hoon koi job hai kya paas mein,KR Puram,whisper,self
peenya-whisper,peenya industrial area mein supervisor ka kaam chahiye,Peenya,whisper,self
yeshwanthpur-whisper,yeshwanthpur se koi factory job milegi kya experience hai,Yeshwanthpur,whisper,self
01-04397-02,बेईमानी और भ्रस्टाचारी की वजह से जनप्रतिनिधि अधिकारी व बिचौलिए माला माल हो रहे हैं,N/A,telephony,gramvaani
01-01025-03,कि बच्चे लेने वालों की संख्या अब समय आ गया है इन बच्चों का जिम्मा सरकार ले और गर्भपात पर रोक लगा दे कौन जनता है,N/A,telephony,gramvaani
01-09868-01,नमस्कार आदाब श्रोताओं मैं श्वेता बिहार मोबाइल वाणी पर पेश करती हूँ शाम की सुर्खियाँ मानसून की बारिश से पानी,N/A,telephony,gramvaani
01-08600-03,लगाने का विकल्प मिल सकता है श्रम मंत्रालय निवेश पर मौजूदा कैप को हटाने के लिए नीति बना रहा है ऐसा होने पर पीएफ खाता धारकों को ज्यादा रिटर्न पाने का मौका मिल सकता है,N/A,telephony,gramvaani
01-07995-03,मदिरा नशा जैसी सामाजिक बुराई ने आज हमारे समाज एंव राष्ट्र को एक बड़ी शराब ना केवल लाखों हँसते खेलते परिवारों को रोने पर मजबूर कर दिया,N/A,telephony,gramvaani
01-05263-01,में रहता है आजकल तो लड़की वाले दहेज़ के अलावा लड़की के लड़की के लिए दस से बीस हज़ार,N/A,telephony,gramvaani
01-03411-01,राजू तिवारी आलोक कुमार के अलावे कई लोग उपस्थित थे इसी के साथ मैं शिवनारायण रिपोर्टर बोकारो मोबाइल मीडिया जरीडीह बोकारो से,N/A,telephony,gramvaani
02-16304-01,आज देखा जा रहा है की हमारे धान के खेत धान मरने की स्थिति में हो गए थी थी आज इस नए झारखण्ड में हमारी बारिश होने का,N/A,telephony,gramvaani
01-00703-03,गठित की है और जाँच चल रही है बावजूद की कोयला का अवैध उत्खनन एवं तस्करी बद्कसूर जारी है सीसीएल ढोरी प्रक्षेत्र के तारणी परियोजना स्थित,N/A,telephony,gramvaani
01-00666-01,प्रतिभागियों को दिया मौके पर दर्जनों सदस्यों ने भाग लिया एवं प्रति पर अपने विचार लिखित रूप से जमा किया मैं राधू राय महुदा धनबाद से,N/A,telephony,gramvaani
01-01992-01,करोड़ों रुपया में मिला हुआ है वैसे भी किसी बच्ची के नाम पर दस हजार बीस हजार पच्चीस हजार तीस हजार रुपया तक बाकया हो जाता है,N/A,telephony,gramvaani
01-04281-03,कोई विश्वासनीय खाका है जिसको आप जानते हैं हैं बिहार मोबाइल वाणी के लिए खजौली मधुबनी से रामाशीष सिंह धन्यवाद,N/A,telephony,gramvaani
01-04493-02,नमस्कार मधुबनी मोबाइल वाणी के लिए मैं मधवापुर साहरघाट से राजकिशोर यादव मधवापुर प्रखंड के बलवा गाँव में ग्यारह हजार तार पुपरी की ओर जाने वाली सड़क पर आज सुबह गिर गया है ग्यारह हजार तार गिर जाने से,N/A,telephony,gramvaani
01-08776-01,इस कार्य में काफ़ी संघर्ष का सामना करना पड़ा अब उन्होंने अर्पण नेचर सवेर ग्रुप बनाकर झी झील की दुबारा खूबसूरती लाने का भरसक प्रयास कर रहे हैं,N/A,telephony,gramvaani
01-10651-02,की वजह से जनता को परेशान होना पड़ेगा पुलिस मुख्यालय की पहल को नया नंबर अलोट करने का निर्णय लिया,N/A,telephony,gramvaani
01-00622-03,जो भी है पहले का पंचायत भवन पुराना टुटल फुटल उसमें हमलोग बैठक चलाते हैं तो उसमे बरसात के सीजन में पानी घुस जाता है और धँसने वाला भी है है कहीं बैठक के समय धँस गया तो फिर लोगों की,N/A,telephony,gramvaani
01-10039-03,ये खुल गया प्राइस बैंड चार सौ अठारह से चार सौ बाईस रूपए और मिनिमम लोट साइज़ इज़ पैंतीस शेयर रखा गया है आई पी ओ दस अगस्ट तक खुला रहेगा,N/A,telephony,gramvaani
01-03999-01,की सर्विस लगा पर रोक लगा कर रख दिया गया है पैदल चलने वाले यात्रियों को बहुत दिक्कत होती हैं साथ ही दो पहिये वाहन तथा चार पहिये वाहन के गुजरने में भारी दिक्कतें होती है,N/A,telephony,gramvaani
02-12587-02,से जिससे हमारा जीवन प्रभावित होती है होती है और आज भी हम एक ऐसे ही मुद्दे के साथ हाज़िर है आपके सामने,N/A,telephony,gramvaani
